epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,4553.25,1.36533,1.38355,1.12963,0.3068,0.17949,0.14426,0.09656,1.28657,1.59227,1.12501,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4644.91,1.36624,1.3682,1.12763,0.28448,0.18271,0.14235,0.09452,1.27315,1.56818,1.11517,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4736.86,1.36622,1.35629,1.12735,0.34829,0.17335,0.1427,0.09475,1.26747,1.60434,1.11036,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4828.67,1.37073,1.35903,1.12436,0.34776,0.17128,0.13975,0.09261,1.2721,1.59821,1.11823,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4920.02,1.3512,1.33779,1.12442,0.31871,0.18412,0.14275,0.09459,1.2697,1.59654,1.11194,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5010.7,1.3512,1.32738,1.11938,0.29519,0.19142,0.14534,0.09679,1.26747,1.56967,1.1116,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5102.37,1.35642,1.31724,1.11864,0.3339,0.18606,0.15143,0.09969,1.26819,1.57095,1.11003,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5192.95,1.3448,1.31809,1.1202,0.32175,0.16929,0.13649,0.09027,1.26142,1.58793,1.11023,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5284.36,1.33911,1.29344,1.11482,0.26883,0.1801,0.14334,0.09678,1.26175,1.58848,1.1082,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5376.25,1.34072,1.29101,1.11592,0.30594,0.18085,0.151,0.10186,1.2584,1.57505,1.10616,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,279.547,1.34589,1.28804,1.11572,0.32671,0.18267,0.14524,0.09647,1.25981,1.58056,1.10753,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,373.229,1.33694,1.2639,1.1144,0.31161,0.18576,0.14771,0.09735,1.26679,1.60021,1.10865,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,466.581,1.33448,1.258,1.11125,0.29692,0.17494,0.14193,0.09476,1.26299,1.60272,1.11036,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,560.294,1.34612,1.25718,1.11026,0.27675,0.17718,0.14088,0.0941,1.25335,1.58012,1.10428,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,653.32,1.34283,1.25761,1.11199,0.31655,0.17712,0.14235,0.09512,1.25761,1.57779,1.10538,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,745.653,1.32436,1.23074,1.10916,0.27197,0.18382,0.13845,0.09129,1.25606,1.58693,1.10719,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,839.73,1.33307,1.23668,1.10789,0.31806,0.16541,0.14032,0.09279,1.25729,1.58924,1.10608,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,931.838,1.32359,1.22415,1.1078,0.29339,0.18088,0.14812,0.0984,1.25028,1.58795,1.10396,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,1024.89,1.32467,1.21549,1.1057,0.31947,0.17965,0.14955,0.09954,1.25247,1.59183,1.10512,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,1117.79,1.31996,1.20817,1.10741,0.3063,0.17176,0.14785,0.09815,1.25148,1.57407,1.10342,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1211.08,1.3089,1.19748,1.10062,0.3086,0.17982,0.14692,0.09823,1.25418,1.58516,1.10466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,1302.1,1.31187,1.20739,1.10479,0.28946,0.18427,0.15218,0.10154,1.25146,1.58432,1.10163,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,1395.15,1.31155,1.18293,1.10007,0.30764,0.18228,0.15415,0.10406,1.24846,1.58039,1.10219,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,1487.67,1.31995,1.17373,1.10339,0.32793,0.18635,0.15171,0.101,1.25096,1.58878,1.10482,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,1580.22,1.3224,1.18097,1.10425,0.33326,0.17978,0.14808,0.09878,1.25385,1.60066,1.10566,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,1672.98,1.30433,1.16372,1.10108,0.30048,0.17518,0.14835,0.09864,1.24774,1.60615,1.09938,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,1765.67,1.30852,1.1548,1.09634,0.275,0.18006,0.14873,0.09925,1.24954,1.60947,1.10148,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,1858.16,1.30299,1.16221,1.09945,0.26675,0.17876,0.14938,0.09947,1.24834,1.57747,1.10187,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,1950.25,1.30433,1.15131,1.10009,0.29933,0.1823,0.15178,0.10021,1.24695,1.57979,1.10114,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,2042.89,1.29895,1.14066,1.09724,0.314,0.17934,0.14912,0.09884,1.24762,1.59347,1.10167,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,2136.6,1.30793,1.13057,1.09285,0.30976,0.18197,0.14796,0.09802,1.2472,1.59005,1.10234,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,2230.35,1.30455,1.13704,1.09531,0.31963,0.17145,0.14691,0.09745,1.24595,1.59371,1.10124,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,2323.89,1.28839,1.11611,1.0897,0.25118,0.18504,0.14764,0.09842,1.24902,1.59936,1.10254,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,2417.92,1.30918,1.11927,1.09282,0.29955,0.18304,0.14684,0.0979,1.24721,1.60213,1.1033,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,2510.95,1.29456,1.11226,1.08914,0.31552,0.17499,0.14895,0.10034,1.2462,1.59453,1.10157,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,2603.74,1.27973,1.09407,1.08601,0.29607,0.16976,0.1467,0.09873,1.24445,1.59769,1.10092,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,2697.82,1.2906,1.09,1.0863,0.30919,0.16881,0.14542,0.09758,1.24689,1.59966,1.10152,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,2792.29,1.27184,1.07845,1.08109,0.34079,0.16499,0.1458,0.09763,1.24388,1.59708,1.10028,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,125.609,1.27704,1.06757,1.08222,0.30145,0.17889,0.14795,0.09907,1.24561,1.59705,1.10027,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,218.586,1.26634,1.05192,1.08026,0.30884,0.18449,0.14981,0.1003,1.2462,1.61036,1.10045,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,311.182,1.26591,1.04573,1.07811,0.33214,0.17992,0.14994,0.10079,1.24432,1.61759,1.10018,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,404.107,1.27797,1.04916,1.07914,0.31127,0.17574,0.14797,0.09854,1.2456,1.61738,1.09995,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,497.364,1.27481,1.04725,1.07948,0.2992,0.17514,0.14791,0.0987,1.24555,1.62043,1.10021,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,589.679,1.25643,1.03215,1.07712,0.30839,0.17637,0.14781,0.09863,1.24556,1.61786,1.1007,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,683.026,1.23428,1.03491,1.07716,0.31301,0.17409,0.1474,0.09826,1.24798,1.60717,1.10206,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,772.34,1.22947,1.0091,1.07511,0.35012,0.17,0.14671,0.09772,1.24845,1.6147,1.1014,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,861.96,1.22875,0.99672,1.07333,0.3648,0.1627,0.14645,0.09749,1.25042,1.62402,1.10277,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,951.38,1.21902,0.98722,1.06952,0.33988,0.16512,0.14575,0.09696,1.25067,1.63308,1.10286,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,1040.96,1.21444,0.97526,1.06745,0.33492,0.16805,0.14621,0.0975,1.25057,1.63652,1.10311,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,1130.77,1.21708,0.97017,1.06964,0.27211,0.17217,0.1454,0.09694,1.25057,1.64082,1.10308,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,1219.86,1.20497,0.96522,1.06541,0.28261,0.17661,0.1451,0.09674,1.25092,1.64488,1.10393,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,1310.43,1.21153,0.96301,1.06892,0.2999,0.17738,0.14504,0.09661,1.25128,1.64887,1.10402,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,139.689,1.25206,1.018,1.07184,0.31149,0.16634,0.14555,0.09713,1.24789,1.65353,1.10221,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,232.769,1.2323,0.97929,1.06543,0.34779,0.15812,0.14462,0.09654,1.24801,1.66017,1.10207,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
